<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.11	13:30:00	157.211	157.216	157.114	157.133	445	0	1
2024.06.11	13:45:00	157.134	157.142	157.086	157.097	521	0	1
2024.06.11	14:00:00	157.094	157.172	157.065	157.172	599	0	1
2024.06.11	14:15:00	157.172	157.176	157.106	157.142	657	0	1
2024.06.11	14:30:00	157.142	157.154	157.053	157.061	607	0	1
2024.06.11	14:45:00	157.062	157.111	157.051	157.100	660	0	1
2024.06.11	15:00:00	157.099	157.113	156.972	157.047	872	0	1
2024.06.11	15:15:00	157.046	157.076	156.973	157.017	694	0	1
2024.06.11	15:30:00	157.016	157.016	156.856	156.916	959	0	1
2024.06.11	15:45:00	156.915	156.936	156.806	156.889	796	0	1
2024.06.11	16:00:00	156.890	156.983	156.890	156.965	722	0	1
2024.06.11	16:15:00	156.965	157.066	156.960	157.061	689	0	1
2024.06.11	16:30:00	157.068	157.121	157.011	157.085	741	0	1
2024.06.11	16:45:00	157.086	157.162	157.044	157.139	784	0	0
2024.06.11	17:00:00	157.141	157.239	157.104	157.238	719	0	0
2024.06.11	17:15:00	157.239	157.240	157.176	157.217	672	0	1
2024.06.11	17:30:00	157.217	157.261	157.193	157.254	644	0	1
2024.06.11	17:45:00	157.254	157.338	157.227	157.322	774	0	0
2024.06.11	18:00:00	157.321	157.385	157.308	157.353	648	0	1
2024.06.11	18:15:00	157.353	157.353	157.252	157.282	594	0	1
2024.06.11	18:30:00	157.280	157.353	157.277	157.339	434	0	1
2024.06.11	18:45:00	157.339	157.362	157.326	157.326	355	0	1
2024.06.11	19:00:00	157.325	157.342	157.301	157.338	369	0	1
2024.06.11	19:15:00	157.338	157.402	157.330	157.364	313	0	1
2024.06.11	19:30:00	157.364	157.368	157.330	157.356	374	0	1
2024.06.11	19:45:00	157.353	157.388	157.352	157.381	291	0	0
2024.06.11	20:00:00	157.383	157.383	157.158	157.225	769	0	0
2024.06.11	20:15:00	157.225	157.240	157.196	157.208	339	0	2
2024.06.11	20:30:00	157.206	157.235	157.193	157.204	295	0	2
2024.06.11	20:45:00	157.206	157.209	157.104	157.119	381	0	2
2024.06.11	21:00:00	157.119	157.129	157.071	157.081	310	0	2
2024.06.11	21:15:00	157.081	157.084	157.051	157.060	347	0	2
2024.06.11	21:30:00	157.060	157.075	157.045	157.050	352	0	2
2024.06.11	21:45:00	157.050	157.053	157.016	157.018	399	0	2
2024.06.11	22:00:00	157.017	157.023	156.951	156.958	285	0	2
2024.06.11	22:15:00	156.955	156.973	156.934	156.960	337	0	2
2024.06.11	22:30:00	156.960	157.063	156.959	157.062	409	0	2
2024.06.11	22:45:00	157.062	157.088	157.030	157.087	394	0	0
2024.06.11	23:00:00	157.087	157.106	157.066	157.104	275	0	3
2024.06.11	23:15:00	157.104	157.111	157.085	157.097	197	0	4
2024.06.11	23:30:00	157.096	157.147	157.091	157.127	187	0	4
2024.06.11	23:45:00	157.127	157.131	157.093	157.115	315	0	4
2024.06.12	00:00:00	157.113	157.124	157.011	157.070	75	0	28
2024.06.12	00:15:00	157.100	157.100	157.034	157.034	89	0	25
2024.06.12	00:30:00	157.036	157.112	157.036	157.106	88	0	23
2024.06.12	00:45:00	157.104	157.129	157.093	157.122	112	0	23
2024.06.12	01:00:00	157.116	157.118	157.072	157.109	148	0	3
2024.06.12	01:15:00	157.106	157.109	157.099	157.106	68	0	6
2024.06.12	01:30:00	157.106	157.130	157.106	157.119	140	0	0
2024.06.12	01:45:00	157.119	157.154	157.117	157.139	90	0	6
2024.06.12	02:00:00	157.139	157.172	157.128	157.170	110	0	2
2024.06.12	02:15:00	157.170	157.176	157.152	157.153	106	0	0
2024.06.12	02:30:00	157.154	157.165	157.117	157.119	118	0	5
2024.06.12	02:45:00	157.118	157.118	157.055	157.113	387	0	2
2024.06.12	03:00:00	157.105	157.207	157.099	157.190	471	0	2
2024.06.12	03:15:00	157.190	157.206	157.113	157.118	357	0	2
2024.06.12	03:30:00	157.117	157.193	157.066	157.193	496	0	2
