<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.28	04:00:00	1.08652	1.08681	1.08644	1.08673	282	0	0
2024.05.28	04:15:00	1.08673	1.08701	1.08663	1.08678	282	0	0
2024.05.28	04:30:00	1.08678	1.08704	1.08668	1.08704	260	0	0
2024.05.28	04:45:00	1.08704	1.08736	1.08704	1.08724	331	0	0
2024.05.28	05:00:00	1.08723	1.08741	1.08721	1.08738	219	0	0
2024.05.28	05:15:00	1.08738	1.08761	1.08718	1.08730	254	0	0
2024.05.28	05:30:00	1.08726	1.08758	1.08716	1.08740	228	0	0
2024.05.28	05:45:00	1.08740	1.08768	1.08740	1.08758	221	0	0
2024.05.28	06:00:00	1.08759	1.08759	1.08742	1.08749	206	0	0
2024.05.28	06:15:00	1.08749	1.08776	1.08737	1.08768	194	0	0
2024.05.28	06:30:00	1.08768	1.08782	1.08764	1.08780	189	0	0
2024.05.28	06:45:00	1.08778	1.08786	1.08777	1.08783	139	0	0
2024.05.28	07:00:00	1.08784	1.08797	1.08784	1.08793	206	0	0
2024.05.28	07:15:00	1.08795	1.08800	1.08787	1.08787	194	0	0
2024.05.28	07:30:00	1.08786	1.08801	1.08776	1.08792	253	0	0
2024.05.28	07:45:00	1.08791	1.08793	1.08757	1.08760	189	0	0
2024.05.28	08:00:00	1.08761	1.08779	1.08750	1.08767	144	0	0
2024.05.28	08:15:00	1.08767	1.08772	1.08747	1.08747	159	0	0
2024.05.28	08:30:00	1.08747	1.08759	1.08727	1.08756	229	0	0
2024.05.28	08:45:00	1.08757	1.08765	1.08747	1.08751	219	0	0
2024.05.28	09:00:00	1.08752	1.08784	1.08751	1.08778	364	0	0
2024.05.28	09:15:00	1.08778	1.08799	1.08764	1.08778	337	0	0
2024.05.28	09:30:00	1.08778	1.08786	1.08743	1.08753	355	0	0
2024.05.28	09:45:00	1.08753	1.08774	1.08737	1.08754	367	0	0
2024.05.28	10:00:00	1.08753	1.08762	1.08726	1.08731	508	0	0
2024.05.28	10:15:00	1.08728	1.08767	1.08716	1.08757	401	0	0
2024.05.28	10:30:00	1.08757	1.08787	1.08746	1.08777	294	0	0
2024.05.28	10:45:00	1.08778	1.08790	1.08769	1.08774	299	0	0
2024.05.28	11:00:00	1.08774	1.08797	1.08752	1.08762	401	0	0
2024.05.28	11:15:00	1.08762	1.08782	1.08729	1.08746	376	0	0
2024.05.28	11:30:00	1.08747	1.08748	1.08671	1.08679	380	0	0
2024.05.28	11:45:00	1.08679	1.08707	1.08672	1.08700	388	0	0
2024.05.28	12:00:00	1.08700	1.08712	1.08672	1.08682	316	0	0
2024.05.28	12:15:00	1.08683	1.08707	1.08682	1.08699	314	0	0
2024.05.28	12:30:00	1.08700	1.08761	1.08699	1.08748	333	0	0
2024.05.28	12:45:00	1.08748	1.08776	1.08743	1.08769	286	0	0
2024.05.28	13:00:00	1.08769	1.08796	1.08766	1.08782	242	0	0
2024.05.28	13:15:00	1.08782	1.08799	1.08769	1.08772	305	0	0
2024.05.28	13:30:00	1.08772	1.08798	1.08754	1.08786	316	0	0
2024.05.28	13:45:00	1.08786	1.08793	1.08778	1.08782	201	0	0
2024.05.28	14:00:00	1.08782	1.08876	1.08782	1.08872	444	0	0
2024.05.28	14:15:00	1.08873	1.08890	1.08831	1.08849	390	0	0
2024.05.28	14:30:00	1.08849	1.08880	1.08848	1.08874	285	0	0
2024.05.28	14:45:00	1.08874	1.08890	1.08839	1.08841	357	0	0
2024.05.28	15:00:00	1.08838	1.08847	1.08794	1.08820	568	0	0
2024.05.28	15:15:00	1.08822	1.08834	1.08750	1.08769	505	0	0
